iter	Passed	Remaining
0	34	173724
1	70	175597
2	98	164535
3	130	162659
4	163	163308
5	198	165431
6	231	165056
7	266	166112
8	298	165578
9	329	164616
10	361	163866
11	394	163860
12	429	164760
13	463	165126
14	495	164645
15	521	162455
16	556	163167
17	591	163686
18	623	163404
19	661	164799
20	698	165639
21	735	166395
22	769	166554
23	806	167268
24	840	167301
25	876	167621
26	911	167799
27	944	167723
28	983	168591
29	1021	169175
30	1053	168788
31	1089	169143
32	1123	169089
33	1154	168573
34	1184	168032
35	1220	168245
36	1254	168312
37	1290	168553
38	1328	168947
39	1363	169050
40	1398	169168
41	1432	169115
42	1465	168938
43	1497	168633
44	1525	167986
45	1556	167662
46	1591	167758
47	1619	167052
48	1646	166391
49	1682	166608
50	1710	165996
51	1745	166101
52	1776	165810
53	1796	164590
54	1828	164420
55	1860	164234
56	1887	163721
57	1913	163052
58	1948	163136
59	1978	162862
60	2010	162766
61	2043	162762
62	2075	162655
63	2106	162448
64	2154	163547
65	2189	163694
66	2222	163670
67	2262	164080
68	2294	163989
69	2325	163815
70	2359	163805
71	2392	163761
72	2425	163696
73	2461	163846
74	2488	163411
75	2519	163259
76	2553	163283
77	2585	163142
78	2615	162935
79	2649	162943
80	2684	163021
81	2713	162751
82	2741	162402
83	2773	162287
84	2807	162334
85	2840	162305
86	2874	162312
87	2907	162276
88	2939	162186
89	2971	162101
90	3002	161976
91	3029	161636
92	3057	161320
93	3091	161368
94	3126	161413
95	3153	161090
96	3185	161026
97	3216	160868
98	3252	160992
99	3286	161061
100	3318	160969
101	3346	160714
102	3379	160664
103	3411	160593
104	3440	160380
105	3472	160314
106	3500	160072
107	3534	160085
108	3561	159817
109	3594	159813
110	3620	159486
111	3654	159472
112	3687	159466
113	3721	159516
114	3749	159284
115	3782	159275
116	3819	159408
117	3847	159196
118	3881	159205
119	3910	159019
120	3944	159067
121	3976	159007
122	4006	158873
123	4039	158834
124	4066	158587
125	4099	158566
126	4128	158392
127	4155	158178
128	4183	157960
129	4214	157894
130	4248	157924
131	4280	157853
132	4314	157875
133	4343	157745
134	4377	157749
135	4410	157756
136	4435	157447
137	4467	157399
138	4503	157487
139	4537	157514
140	4569	157481
141	4605	157546
142	4636	157465
143	4668	157419
144	4701	157407
145	4733	157361
146	4764	157309
147	4799	157351
148	4832	157316
149	4865	157318
150	4895	157217
151	4930	157245
152	4965	157307
153	4995	157204
154	5027	157155
155	5059	157094
156	5089	156983
157	5123	157008
158	5155	156970
159	5190	157000
160	5218	156851
161	5253	156883
162	5281	156719
163	5311	156623
164	5348	156725
165	5383	156766
166	5426	157046
167	5459	157016
168	5495	157100
169	5532	157180
170	5565	157166
171	5600	157198
172	5634	157224
173	5665	157140
174	5693	156978
175	5727	156996
176	5759	156936
177	5791	156894
178	5826	156936
179	5856	156829
180	5891	156860
181	5923	156812
182	5960	156889
183	5998	157013
184	6031	156977
185	6065	156990
186	6096	156913
187	6133	156983
188	6165	156949
189	6199	156956
190	6234	156983
191	6269	156988
192	6300	156930
193	6333	156893
194	6367	156912
195	6398	156840
196	6428	156729
197	6461	156710
198	6493	156657
199	6530	156730
200	6565	156746
201	6598	156740
202	6629	156659
203	6659	156560
204	6688	156441
205	6721	156421
206	6750	156301
207	6779	156184
208	6811	156144
209	6845	156142
210	6877	156107
211	6909	156057
212	6941	156010
213	6970	155887
214	7003	155871
215	7041	155952
216	7074	155934
217	7112	156022
218	7146	156007
219	7179	155985
220	7212	155976
221	7243	155902
222	7276	155864
223	7306	155791
224	7339	155756
225	7369	155668
226	7394	155485
227	7423	155374
228	7452	155274
229	7482	155173
230	7521	155275
231	7549	155159
232	7584	155169
233	7615	155117
234	7649	155108
235	7679	155017
236	7711	154980
237	7745	154968
238	7779	154971
239	7812	154941
240	7848	154987
241	7879	154920
242	7915	154946
243	7945	154869
244	7979	154870
245	8013	154867
246	8043	154774
247	8074	154709
248	8106	154667
249	8137	154607
250	8170	154583
251	8197	154456
252	8231	154439
253	8260	154346
254	8289	154258
255	8324	154259
256	8359	154276
257	8393	154275
258	8427	154258
259	8460	154242
260	8490	154156
261	8519	154070
262	8550	154014
263	8586	154028
264	8621	154056
265	8650	153944
266	8681	153899
267	8718	153939
268	8752	153925
269	8783	153876
270	8819	153894
271	8850	153837
272	8883	153825
273	8918	153833
274	8953	153837
275	8988	153846
276	9016	153735
277	9051	153752
278	9082	153693
279	9121	153769
280	9155	153761
281	9183	153643
282	9219	153670
283	9258	153747
284	9292	153727
285	9325	153699
286	9356	153648
287	9386	153565
288	9417	153516
289	9453	153538
290	9486	153509
291	9513	153388
292	9549	153403
293	9578	153323
294	9612	153316
295	9644	153263
296	9678	153261
297	9711	153226
298	9743	153194
299	9776	153171
300	9807	153107
301	9842	153105
302	9878	153126
303	9910	153097
304	9947	153124
305	9978	153070
306	10006	152961
307	10036	152893
308	10070	152885
309	10100	152809
310	10131	152747
311	10164	152735
312	10200	152752
313	10235	152746
314	10265	152680
315	10299	152674
316	10334	152670
317	10365	152607
318	10397	152569
319	10428	152516
320	10463	152524
321	10495	152484
322	10528	152448
323	10560	152413
324	10592	152375
325	10622	152301
326	10655	152273
327	10685	152202
328	10716	152143
329	10746	152073
330	10775	152000
331	10804	151920
332	10838	151904
333	10871	151881
334	10901	151810
335	10935	151795
336	10963	151698
337	10996	151666
338	11026	151604
339	11057	151553
340	11086	151465
341	11116	151409
342	11151	151409
343	11185	151395
344	11211	151279
345	11245	151268
346	11277	151228
347	11308	151173
348	11340	151125
349	11369	151048
350	11398	150975
351	11423	150836
352	11456	150815
353	11489	150792
354	11517	150702
355	11546	150617
356	11578	150584
357	11611	150555
358	11647	150569
359	11677	150508
360	11711	150501
361	11747	150509
362	11780	150490
363	11811	150429
364	11840	150354
365	11871	150310
366	11904	150282
367	11935	150233
368	11963	150142
369	11994	150090
370	12025	150048
371	12058	150016
372	12091	149986
373	12126	149986
374	12157	149941
375	12189	149903
376	12224	149902
377	12258	149894
378	12290	149851
379	12320	149794
380	12349	149722
381	12378	149647
382	12411	149614
383	12442	149564
384	12470	149483
385	12501	149437
386	12534	149407
387	12564	149353
388	12590	149238
389	12622	149206
390	12659	149225
391	12689	149160
392	12719	149111
393	12755	149122
394	12789	149102
395	12818	149031
396	12853	149034
397	12883	148965
398	12916	148939
399	12947	148896
400	12980	148869
401	13009	148805
402	13043	148789
403	13075	148751
404	13105	148686
405	13139	148681
406	13176	148695
407	13211	148688
408	13238	148601
409	13270	148567
410	13304	148549
411	13338	148536
412	13372	148518
413	13401	148449
414	13435	148435
415	13469	148418
416	13501	148388
417	13537	148390
418	13570	148369
419	13611	148427
420	13648	148447
421	13676	148365
422	13712	148372
423	13746	148360
424	13782	148361
425	13811	148294
426	13848	148309
427	13885	148329
428	13923	148349
429	13959	148363
430	14001	148425
431	14030	148362
432	14068	148383
433	14103	148378
434	14134	148332
435	14164	148273
436	14195	148221
437	14230	148213
438	14261	148172
439	14295	148155
440	14330	148143
441	14354	148031
442	14392	148046
443	14425	148024
444	14461	148031
445	14498	148044
446	14534	148044
447	14571	148058
448	14609	148080
449	14645	148085
450	14684	148111
451	14718	148097
452	14750	148061
453	14792	148120
454	14828	148119
455	14866	148142
456	14898	148100
457	14934	148107
458	14967	148079
459	15006	148106
460	15042	148106
461	15082	148151
462	15118	148147
463	15150	148111
464	15192	148170
465	15234	148225
466	15274	148262
467	15306	148223
468	15343	148229
469	15380	148245
470	15412	148199
471	15449	148209
472	15478	148145
473	15515	148148
474	15550	148141
475	15587	148145
476	15620	148116
477	15654	148092
478	15689	148081
479	15724	148069
480	15755	148019
481	15785	147966
482	15820	147953
483	15855	147938
484	15893	147961
485	15931	147972
486	15962	147927
487	15993	147872
488	16021	147800
489	16056	147787
490	16091	147775
491	16123	147730
492	16154	147682
493	16190	147680
494	16219	147615
495	16250	147561
496	16281	147516
497	16311	147456
498	16344	147427
499	16375	147381
500	16405	147325
501	16433	147251
502	16467	147224
503	16501	147203
504	16531	147143
505	16567	147141
506	16598	147097
507	16632	147076
508	16661	147011
509	16692	146959
510	16727	146948
511	16764	146947
512	16792	146876
513	16826	146859
514	16865	146878
515	16901	146876
516	16936	146855
517	16971	146844
518	17005	146819
519	17039	146803
520	17069	146747
521	17099	146685
522	17130	146641
523	17159	146575
524	17191	146541
525	17221	146482
526	17255	146456
527	17288	146426
528	17327	146445
529	17357	146394
530	17394	146392
531	17427	146361
532	17463	146361
533	17496	146326
534	17526	146270
535	17560	146251
536	17598	146261
537	17631	146229
538	17665	146208
539	17702	146207
540	17737	146193
541	17769	146152
542	17799	146103
543	17835	146095
544	17866	146049
545	17907	146081
546	17935	146005
547	17969	145989
548	18006	145988
549	18044	145999
550	18075	145945
551	18110	145937
552	18145	145919
553	18181	145914
554	18220	145929
555	18253	145896
556	18283	145840
557	18315	145798
558	18348	145768
559	18384	145762
560	18414	145704
561	18443	145645
562	18478	145629
563	18516	145639
564	18549	145601
565	18583	145578
566	18611	145511
567	18644	145480
568	18677	145451
569	18714	145451
570	18748	145425
571	18785	145420
572	18813	145349
573	18846	145322
574	18880	145296
575	18916	145285
576	18952	145284
577	18983	145233
578	19014	145184
579	19042	145114
580	19076	145092
581	19111	145079
582	19146	145056
583	19179	145031
584	19214	145008
585	19251	145012
586	19278	144935
587	19314	144927
588	19345	144875
589	19376	144829
590	19413	144826
591	19443	144775
592	19478	144758
593	19506	144691
594	19539	144658
595	19573	144633
596	19603	144580
597	19637	144553
598	19667	144503
599	19696	144443
600	19735	144453
601	19761	144371
602	19796	144353
603	19833	144349
604	19870	144351
605	19904	144322
606	19939	144310
607	19968	144248
608	20002	144223
609	20034	144186
610	20069	144163
611	20104	144149
612	20139	144133
613	20175	144116
614	20207	144082
615	20240	144050
616	20268	143984
617	20302	143954
618	20332	143903
619	20369	143899
620	20405	143886
621	20441	143879
622	20476	143859
623	20509	143827
624	20543	143806
625	20578	143788
626	20606	143722
627	20637	143671
628	20673	143660
629	20703	143609
630	20737	143586
631	20768	143538
632	20800	143501
633	20837	143496
634	20863	143417
635	20897	143393
636	20934	143383
637	20963	143324
638	20993	143273
639	21027	143247
640	21063	143236
641	21096	143208
642	21122	143129
643	21152	143077
644	21186	143051
645	21221	143029
646	21254	143000
647	21287	142967
648	21323	142952
649	21354	142911
650	21387	142876
651	21424	142874
652	21456	142835
653	21488	142797
654	21523	142776
655	21559	142764
656	21594	142744
657	21626	142708
658	21655	142652
659	21690	142631
660	21728	142632
661	21764	142617
662	21794	142569
663	21826	142529
664	21852	142449
665	21883	142405
666	21920	142399
667	21952	142362
668	21987	142345
669	22023	142329
670	22062	142334
671	22093	142291
672	22122	142232
673	22155	142201
674	22192	142193
675	22224	142158
676	22260	142143
677	22292	142106
678	22326	142082
679	22357	142037
680	22391	142011
681	22424	141975
682	22460	141965
683	22489	141906
684	22523	141882
685	22559	141866
686	22593	141841
687	22625	141805
688	22661	141787
689	22698	141780
690	22735	141778
691	22767	141739
692	22804	141727
693	22841	141723
694	22882	141738
695	22911	141684
696	22939	141621
697	22971	141579
698	23005	141551
699	23034	141495
700	23061	141428
701	23092	141384
702	23130	141381
703	23162	141341
704	23191	141287
705	23221	141235
706	23252	141194
707	23284	141156
708	23321	141143
709	23347	141073
710	23382	141053
711	23414	141015
712	23450	141001
713	23483	140964
714	23513	140918
715	23547	140892
716	23582	140870
717	23612	140820
718	23646	140793
719	23680	140766
720	23712	140731
721	23743	140687
722	23778	140662
723	23812	140638
